iter	MultiClass
0	1.497417249
1	1.400816868
2	1.316713325
3	1.241469053
4	1.172761951
5	1.111599187
6	1.055725039
7	1.003347506
8	0.9557903588
9	0.9120640982
10	0.8713817764
11	0.8331501762
12	0.7974473017
13	0.764632338
14	0.7332824602
15	0.7039679196
16	0.676042837
17	0.6499219301
18	0.6250127091
19	0.601622687
20	0.5790169636
21	0.557704345
22	0.5378387456
23	0.5186390323
24	0.500073614
25	0.4824092599
26	0.4655593809
27	0.4495176755
28	0.4341156706
29	0.4194292589
30	0.405509488
31	0.3919641658
32	0.3789616662
33	0.3664745183
34	0.3546630526
35	0.3430648011
36	0.3320960022
37	0.3214939647
38	0.3111694412
39	0.3013524584
40	0.2920321421
41	0.2829105766
42	0.2742765231
43	0.2659558894
44	0.2579993185
45	0.2501711287
46	0.242665028
47	0.2352123449
48	0.2282123187
49	0.2214962302
50	0.2150747674
51	0.2087541549
52	0.2026856396
53	0.1968797243
54	0.1912106519
55	0.1856974099
56	0.1803210927
57	0.1751784119
58	0.1702106979
59	0.165343156
60	0.1607026431
61	0.1561722611
62	0.1517736966
63	0.147572927
64	0.1434817246
65	0.1395812314
66	0.1357717453
67	0.1320741377
68	0.128460488
69	0.1250114317
70	0.1215996457
71	0.1183027134
72	0.1151555299
73	0.1120532852
74	0.1090713434
75	0.1061927175
76	0.103426049
77	0.1007430786
78	0.09809728379
79	0.09554620688
80	0.09302470434
81	0.09064591391
82	0.08831238673
83	0.08603341172
84	0.08388181896
85	0.08169419083
86	0.0795948625
87	0.07753299327
88	0.07554715176
89	0.0736439802
90	0.07180606686
91	0.07016678112
92	0.06845415017
93	0.06684647942
94	0.06517818225
95	0.06361908676
96	0.0620799765
97	0.06059039156
98	0.05912832933
99	0.05773595688
100	0.05634988159
101	0.05502159
102	0.05374937109
103	0.05248897257
104	0.05126889242
105	0.05003545957
106	0.04889242055
107	0.04774668283
108	0.04665008548
109	0.04561464835
110	0.04458002208
111	0.04358441542
112	0.04256900322
113	0.04162170304
114	0.04068834153
115	0.03982026509
116	0.03895065008
117	0.0381118761
118	0.03725425163
119	0.0364517575
120	0.0357179565
121	0.03499370782
122	0.03425279297
123	0.03353186374
124	0.03285180661
125	0.0321682326
126	0.03150021749
127	0.03088810693
128	0.03029656919
129	0.02972624897
130	0.02912852825
131	0.02856121599
132	0.02798551261
133	0.02746423776
134	0.02694107703
135	0.02649337819
136	0.02598125228
137	0.02552875777
138	0.02503883194
139	0.02461492245
140	0.02421910683
141	0.02379409515
142	0.02340411569
143	0.02296827643
144	0.02256228921
145	0.02219589046
146	0.02181168361
147	0.02145322592
148	0.02110865784
149	0.02079047041
150	0.02044492092
151	0.0201228364
152	0.01980096951
153	0.01954309977
154	0.01927745843
155	0.01898682565
156	0.01869898657
157	0.01843192433
158	0.01814870448
159	0.01789893046
160	0.01762020688
161	0.01734348613
162	0.01710519816
163	0.01685355787
164	0.01659080001
165	0.01638175684
166	0.01619983946
167	0.01593698635
168	0.01573755079
169	0.01556071224
170	0.01536158447
171	0.0151853314
172	0.01502147566
173	0.01484312804
174	0.01468175132
175	0.01452173514
176	0.01435401629
177	0.01420111917
178	0.01403264422
179	0.01385855139
180	0.01375282324
181	0.01357570735
182	0.0134189367
183	0.01326236009
